SV,Ex_S1,Ex_S2,Ex_S3,Ex_S4,Ex_S5,Ex_S6,Ex_S7,Ex_S8,Ex_S9,Ex_S10,Ex_S11,Ex_S12,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu1,6,11,28,69,2,36,15866,11119,116033,12986,69926,5401,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Trichococcus,
Otu3,108021,168,40989,325,60378,127,14478,38,5121,124,3319,13,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
Otu2,5,20,57,24,2,39,51842,383,27627,187,66854,77,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__BVA18,,
Otu5,161,9111,186,51280,485,25582,117,6045,47,2581,112,330,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Thauera,
Otu23,0,0,0,5,4,0,3,20,27,43,2,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Cupriavidus,
Otu4,0,0,2,7,0,0,0,0,0,16,0,0,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XI,g__H1-814,
Otu17,1,0,2,1,1,0,2,0,4,19,1,59,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,
Otu6,37,608,329,6189,97,6172,6,324,311,270,62,421,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azoarcus,
Otu9,1089,218,284,873,682,958,713,1122,2407,357,1318,1601,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__KD1-131,,
Otu7,26,8695,3,34038,18,5498,4,1178,34,3600,19,66,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Alishewanella,
Otu8,1573,87,2077,1851,839,516,1982,2057,15421,2639,1112,457,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,,
Otu13,0,0,11,24,0,0,0,0,1,20,0,0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,
Otu10,183,39,52,58,73,24,2791,145,12123,124,4102,151,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__WCHB1-69,,
Otu14,1597,444,559,6149,388,1449,166,1095,2320,553,134,29,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__WCHB1-69,,
Otu16,1516,86,443,564,782,253,803,333,8076,115,1595,90,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__vadinBC27 wastewater-sludge group,
Otu12,67,20,32,154,58,107,520,1640,374,665,501,2242,k__Bacteria,p__Verrucomicrobia,c__OPB35 soil group,,,,
Otu18,542,166,69,525,2791,1225,907,259,4862,312,1246,27,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
Otu20,1110,213,1186,1682,461,121,1157,321,6619,385,626,97,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,,
Otu11,56697,11,6727,16,976,12,1,0,3,13,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
Otu22,245,1698,120,4708,142,1865,2,10,16,6,4,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azoarcus,
Otu21,113,251,224,811,71,825,24,2631,1191,358,47,622,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Hydrogenophaga,
Otu27,22,3,17,2836,35,28,0,25,16,26,1,7,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,
Otu19,30,4549,51,10987,25,1605,4,231,792,338,16,291,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Stappia,
Otu31,5369,108,1037,677,1964,564,297,24,551,43,542,105,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
Otu26,29,127,93,1102,53,598,15,310,671,91,325,364,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Hydrogenophaga,
Otu15,15,378,91,6291,9,1881,2,1578,380,259,70,541,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Aquimonas,
Otu42,2615,270,1910,2010,641,264,34,20,401,67,46,6,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Aminivibrio,
Otu24,1,2,3,119,14,206,368,1201,6598,1021,235,1383,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
Otu33,2263,607,435,4926,1059,849,139,317,461,306,248,149,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,,
Otu29,605,131,483,3518,282,624,340,487,1815,652,454,249,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,,
Otu25,27,434,8,737,25,1360,2,170,23,211,280,234,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,
Otu28,31,307,83,7034,37,1485,0,5,3,270,6,1012,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Marinilabiaceae,g__Mangroviflexus,
Otu30,323,216,99,385,171,245,469,456,3457,311,982,123,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
Otu34,1234,500,544,1702,786,425,99,118,793,67,199,73,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Petrimonas,
Otu41,3,51,0,80,14,558,5,200,10,258,7,70,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Caenispirillum,
Otu78,0,0,0,0,0,0,0,0,1,0,1,0,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Competibacteraceae,,
Otu32,309,18,32,245,36,176,3,22,47,20,30,42,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,
Otu43,475,136,165,2648,319,852,4,9,58,24,29,16,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
Otu40,318,43,78,443,142,150,48,968,396,518,153,1073,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,,
Otu35,489,503,138,1218,611,1578,3,10,2,8,1,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,
Otu44,697,137,632,1046,427,204,161,89,844,160,190,35,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,,
Otu47,0,0,3,9,0,0,1,0,0,8,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Acetobacter,
Otu39,293,2,149,742,20,39,278,519,659,301,686,159,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,
Otu37,11,369,7,2612,11,2184,7,612,65,542,34,401,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Planctomycetaceae,g__Planctomyces,
Otu36,168,217,161,5357,126,504,392,272,3484,462,289,63,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,,
Otu50,0,6,21,304,8,878,16,2960,142,1462,45,57,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,,
Otu61,2,4,272,8,1878,116,0,0,47,5,0,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,,
Otu46,14,140,74,325,17,64,218,1743,5005,841,316,303,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
Otu54,330,275,128,674,173,98,284,76,1608,54,417,24,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XIII,g__Anaerovorax,
Otu67,6,0,47,846,8,17,0,1,9,4,0,0,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,
Otu49,336,161,143,105,291,213,40,226,278,51,207,199,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidia Incertae Sedis,f__Draconibacteriaceae,,
Otu48,87,358,28,634,21,895,13,779,81,110,32,342,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidia Incertae Sedis,f__Draconibacteriaceae,,
